SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
UGS2000,EQ,11.1,11.2,11.1,11.2,11.2,11.2,850,9487.5,22-JUL-1998,
UGS5000,EQ,13.6,13.6,13.5,13.6,13.6,13.6,1200,16310,22-JUL-1998,
ULTRMARINE,EQ,49,50,49,50,50,49,500,24800,22-JUL-1998,
UNICHEMLAB,EQ,142,146.9,142,146.65,146.9,139.85,3850,556162.5,22-JUL-1998,
UNIFLEX,EQ,6.7,6.7,6.55,6.55,6.55,6.7,1100,7305,22-JUL-1998,
UNIONCARBI,EQ,67.5,67.5,67,67.2,67,66.55,400,26940,22-JUL-1998,
UNITEDBREW,EQ,19,19.6,19,19.5,19.5,18.6,600,11650,22-JUL-1998,
UNITEDPHOS,EQ,92.9,94,89.1,90.8,91.25,89.05,28500,2598095,22-JUL-1998,
UNIVCABLES,EQ,19,19,19,19,19,19,200,3800,22-JUL-1998,
UNIWESTBNK,EQ,38.25,38.4,37.8,38.05,38.1,38.5,18900,718645,22-JUL-1998,
UNIWORTINT,EQ,4,4,3.6,3.6,3.6,4,600,2280,22-JUL-1998,
USHABELTRO,EQ,58.95,58.95,56.9,58.45,58.9,55.5,3600,209820,22-JUL-1998,
USHAINDIA,EQ,4.15,4.2,4.15,4.2,4.2,4.25,200,835,22-JUL-1998,
USHAISPAT,EQ,21.65,21.65,21.65,21.65,21.65,21.7,100000,2165000,22-JUL-1998,
UTTAMSTL,EQ,4.85,5,4.85,5,5,5,700,3485,22-JUL-1998,
VAMORGANIC,EQ,143,145,143,144,144,144.25,200,28750,22-JUL-1998,
VANADYCHEM,EQ,35.5,35.5,35.5,35.5,35.5,36,300,10650,22-JUL-1998,
VARDMNPOLY,EQ,35.3,36,35.25,36,36,36.6,400,14255,22-JUL-1998,
VARUNSHIP,EQ,15.7,15.7,14.85,15,15,16.45,9400,141865,22-JUL-1998,
VATSALTD,EQ,0.65,0.65,0.6,0.6,0.6,0.65,15500,9625,22-JUL-1998,
VDOCONAPPL,EQ,21,21.75,20.5,20.85,20.8,21.05,5100,107310,22-JUL-1998,
VDOCONINTL,EQ,58,58,55.5,56.1,56.4,54.15,222300,12590525,22-JUL-1998,
VENLONPOLY,EQ,9,9,8,9,9,4.8,800,6800,22-JUL-1998,
VENUSUGAR,EQ,1.75,1.75,1.55,1.55,1.55,2,1500,2395,22-JUL-1998,
VESUVIUS,EQ,99,101.9,96,96.9,97.5,99.15,7300,710770,22-JUL-1998,
VICKERSYS,EQ,24,24,24,24,24,26,50,1200,22-JUL-1998,
VIKASWSP,EQ,94,94.9,92,92.65,92.7,91.2,5300,492570,22-JUL-1998,
VINDHYATEL,EQ,35.7,35.7,35,35,35,34.65,500,17640,22-JUL-1998,
VINYLCHEM,EQ,18.75,18.75,15.55,15.85,15.85,15.9,10600,188260,22-JUL-1998,
VIPIND,EQ,27.1,27.1,25.5,26.95,26.95,26.95,1400,37005,22-JUL-1998,
VIRALFILA,EQ,4,4,3.65,3.65,3.65,3.25,600,2260,22-JUL-1998,
VIRALSYNTX,EQ,1.55,1.55,1.4,1.4,1.4,1.25,1100,1690,22-JUL-1998,
VISAKAIND,EQ,8.1,8.1,7.9,7.9,7.9,9,1100,8760,22-JUL-1998,
VITARACHEM,EQ,35.25,36.65,35.25,36.65,36.65,33.9,1500,54520,22-JUL-1998,
VLSFINANCE,EQ,21.3,22.1,21.25,22.1,22.1,22.05,500,10875,22-JUL-1998,
VOLTAS,EQ,60,60.95,52.45,52.45,52.45,57,24450,1345317.5,22-JUL-1998,
VSNL,EQ,839,839,839,839,839,786.3,100,83900,22-JUL-1998,
VSTIND,EQ,109.9,110,106.5,109.45,110,102.35,5100,555137.5,22-JUL-1998,
VULCANENG,EQ,8,8,8,8,8,8,100,800,22-JUL-1998,
VXL,EQ,12.25,13.25,12,12.9,13,12.25,10400,130475,22-JUL-1998,
VXLINSTR,EQ,13.6,13.6,13.3,13.3,13.3,13.05,3000,40375,22-JUL-1998,
VYSYABANK,EQ,193,194,186,187.9,189.5,181.55,16550,3124825,22-JUL-1998,
WARTDEISEL,EQ,171,180.95,160.1,178.3,179,168.6,113900,19846050,22-JUL-1998,
WATERBASE,EQ,2.3,2.5,2.3,2.5,2.5,2.3,4100,10230,22-JUL-1998,
WEIZMANIND,EQ,9.25,9.25,9.25,9.25,9.25,10,100,925,22-JUL-1998,
WESTERNBIO,EQ,6.75,7,6.75,7,7,6.75,400,2750,22-JUL-1998,
WESTHATCH,EQ,32,32,29.75,29.75,29.75,31.05,5200,161130,22-JUL-1998,
WHEELS,EQ,94,97,94,97,97,93,150,14250,22-JUL-1998,
WILLAMAGOR,EQ,28,28,28,28,28,27,100,2800,22-JUL-1998,
WIMCO,EQ,14.75,14.75,14.6,14.6,14.6,14.6,650,9530,22-JUL-1998,
WIMPLAST,EQ,61.75,63,61.25,62.35,62.5,59.75,3300,203865,22-JUL-1998,
WINSOMYARN,EQ,6,6,6,6,6,6,10700,64200,22-JUL-1998,
WIPRO,EQ,1835,1851,1776,1817,1817,1830.1,1950,3537970,22-JUL-1998,
WOCKHARDT,EQ,255,261,246,248.05,248.05,252.8,25300,6416930,22-JUL-1998,
WOOLWORTH,EQ,18,18,16.55,16.6,16.7,16.85,3600,61185,22-JUL-1998,
WSIND,EQ,13.5,13.5,13.5,13.5,13.5,11.5,100,1350,22-JUL-1998,
WSTCSTPAPR,EQ,35,35.45,35,35.45,35.45,35,350,12272.5,22-JUL-1998,
WYETHLEDE,EQ,400,401.05,396,398,398,397.75,900,359157.5,22-JUL-1998,
XEDDTELCOM,EQ,1.2,1.2,1.2,1.2,1.2,2.1,200,240,22-JUL-1998,
YOKOGAWA,EQ,81,81,75,75.65,75.65,77.45,7700,584920,22-JUL-1998,
ZANDUPHARM,EQ,2100,2100,2100,2100,2100,2050,10,21000,22-JUL-1998,
ZEETELE,EQ,580,581,525.3,539,540,566.15,383600,208790280,22-JUL-1998,
ZFSTEERING,EQ,27,27,27,27,27,28,150,4050,22-JUL-1998,
ZILONPHARM,EQ,1.05,1.15,1.05,1.15,1.15,1.1,300,335,22-JUL-1998,
ZODIACLOTH,EQ,44,45,43.05,45,45,43.75,700,30805,22-JUL-1998,
ZUARIAGRO,EQ,80.1,82.5,79.9,80,80,83.05,2150,172132.5,22-JUL-1998,
