SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JOCIL,EQ,108.4,112,105,109.8,110,106.9,21403,2338650.75,05-SEP-2012,149,INE839G01010,
JPASSOCIAT,EQ,65,65.4,63.65,63.85,63.8,65.45,10231096,659749982.65,05-SEP-2012,33826,INE455F01025,
JPINFRATEC,EQ,43.85,44.7,43.25,43.6,43.7,44.1,250037,11000480.95,05-SEP-2012,2006,INE099J01015,
JPPOWER,EQ,26.05,26.85,25.8,26.6,26.65,26,2693771,71320583.8,05-SEP-2012,5298,INE351F01018,
JSL,EQ,70,72.85,70,71.45,71.95,70.8,85549,6131540.8,05-SEP-2012,1348,INE220G01021,
JSWENERGY,EQ,46.7,47.25,45.15,45.95,46.05,47,1381798,63599405.35,05-SEP-2012,10857,INE121E01018,
JSWISPAT,EQ,9.3,9.3,8.95,9,9,9.3,2536129,23053813.55,05-SEP-2012,3550,INE136A01022,
JSWISPAT,P1,3.85,4.05,3.85,3.95,4,3.9,491384,1943473.6,05-SEP-2012,127,INE136A04034,
JSWSTEEL,EQ,672.9,672.9,651.45,655.05,655,676.7,1669271,1099967622.1,05-SEP-2012,37395,INE019A01020,
JUBILANT,EQ,179.85,179.85,171.2,176.75,174.7,179.55,414795,73189119.25,05-SEP-2012,9150,INE700A01033,
JUBLFOOD,EQ,1229.7,1246,1217.85,1226.45,1219.8,1229.7,451212,556581719.55,05-SEP-2012,19106,INE797F01012,
JUBLINDS,EQ,135,136.5,134,134.2,134,137.2,423,56828.45,05-SEP-2012,40,INE645L01011,
JUNIORBEES,EQ,100,101.86,100,101.51,101.57,100.26,7038,712037.09,05-SEP-2012,206,INF732E01045,
JUPITER,BE,6,6,5.65,5.65,5.65,5.9,63702,366308.45,05-SEP-2012,121,INE918B01013,
JVLAGRO,EQ,13.1,13.85,13.1,13.3,13.3,13.15,8584,115007.7,05-SEP-2012,40,INE430G01026,
JYOTHYLAB,EQ,152,153.9,148.2,149.65,148.65,151.3,79682,12014540.85,05-SEP-2012,2170,INE668F01031,
JYOTISTRUC,EQ,37.5,38.65,37,37.9,37.8,37.4,178864,6806418.1,05-SEP-2012,1768,INE197A01024,
