SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
GENUSPOWER," EQ"," 30-Apr-2025"," 292.95"," 291.00"," 296.80"," 280.50"," 283.70"," 283.80"," 289.70"," 520851"," 1508.90"," 14014"," 229778"," 44.12"
GEOJITFSL," EQ"," 30-Apr-2025"," 77.29"," 77.47"," 78.00"," 73.95"," 74.00"," 74.53"," 75.54"," 456508"," 344.85"," 6928"," 186351"," 40.82"
GEPIL," EQ"," 30-Apr-2025"," 243.92"," 244.25"," 244.25"," 229.01"," 230.00"," 230.45"," 235.38"," 228976"," 538.96"," 6889"," 123133"," 53.78"
GESHIP," EQ"," 30-Apr-2025"," 900.70"," 897.00"," 903.00"," 865.00"," 871.00"," 870.05"," 880.64"," 259261"," 2283.15"," 15430"," 148679"," 57.35"
GFLLIMITED," EQ"," 30-Apr-2025"," 56.07"," 55.62"," 55.63"," 53.59"," 53.65"," 53.87"," 54.45"," 68007"," 37.03"," 1290"," 48619"," 71.49"
GGBL," ST"," 30-Apr-2025"," 379.30"," 371.75"," 371.75"," 371.75"," 371.75"," 371.75"," 371.75"," 300"," 1.12"," 1"," 300"," 100.00"
GHCL," EQ"," 30-Apr-2025"," 605.30"," 604.20"," 606.45"," 579.85"," 580.00"," 582.40"," 589.46"," 193765"," 1142.17"," 13771"," 118114"," 60.96"
GHCLTEXTIL," EQ"," 30-Apr-2025"," 80.82"," 80.00"," 81.09"," 79.01"," 79.01"," 79.32"," 79.94"," 66151"," 52.88"," 2543"," 37573"," 56.80"
GICHSGFIN," EQ"," 30-Apr-2025"," 178.09"," 177.09"," 180.50"," 174.25"," 174.57"," 175.23"," 177.46"," 101346"," 179.85"," 3007"," 42507"," 41.94"
GICL," SM"," 30-Apr-2025"," 89.30"," 90.00"," 90.00"," 82.40"," 83.60"," 83.95"," 85.06"," 81000"," 68.90"," 44"," 61500"," 75.93"
GICRE," EQ"," 30-Apr-2025"," 433.75"," 434.00"," 453.80"," 408.15"," 415.05"," 417.15"," 434.13"," 3442275"," 14944.00"," 110806"," 860759"," 25.01"
GILLANDERS," EQ"," 30-Apr-2025"," 117.46"," 119.99"," 125.00"," 115.22"," 121.00"," 120.75"," 121.68"," 93646"," 113.95"," 2873"," 52831"," 56.42"
