SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JSWENERGY,EQ,44.8,45.95,43.25,44,44.7,44.4,3828389,170756643.65,26-JUL-2013,14991,INE121E01018,
JSWSTEEL,EQ,567.6,572.2,536.45,554.85,552,566.85,1062852,588330484.85,26-JUL-2013,19384,INE019A01020,
JUBILANT,EQ,86.5,94,83.7,90.55,90,86.15,90636,7977739.65,26-JUL-2013,3780,INE700A01033,
JUBLFOOD,EQ,1164.35,1178.75,1128.75,1150.2,1156,1164.45,195556,225058048.8,26-JUL-2013,12729,INE797F01012,
JUBLINDS,EQ,57.05,57.05,46.4,46.6,46.4,57.95,37737,1861131.65,26-JUL-2013,1067,INE645L01011,
JUMBO,EQ,3.95,3.95,3.95,3.95,3.95,4.15,200,790,26-JUL-2013,1,INE699D01015,
JUNIORBEES,EQ,117.78,118.43,115.15,117.1,117.5,116.92,4121,480447.82,26-JUL-2013,186,INF732E01045,
JUSTDIAL,EQ,682,688.3,666.95,680.1,680.25,680.45,71524,48340489.5,26-JUL-2013,6572,INE599M01018,
JVLAGRO,EQ,7.75,8.15,7.55,7.7,7.8,7.8,16566,128916.6,26-JUL-2013,117,INE430G01026,
JYOTHYLAB,EQ,176.3,176.95,170.15,175,175,177.35,27625,4806121.25,26-JUL-2013,923,INE668F01031,
JYOTISTRUC,EQ,18.9,19.3,18.15,18.3,18.3,19.05,132892,2468376.05,26-JUL-2013,682,INE197A01024,
KABRAEXTRU,EQ,25.5,25.5,24.55,24.7,24.7,25.9,211,5209.05,26-JUL-2013,22,INE900B01029,
KAJARIACER,EQ,256.9,256.9,248.2,252.2,253,254,58942,14891169.55,26-JUL-2013,1043,INE217B01028,
KALINDEE,EQ,75.15,76.7,75.05,75.65,76,76.15,127302,9648082.55,26-JUL-2013,1057,INE178D01010,
KALPATPOWR,EQ,64.15,66.65,63.5,63.75,63.55,63.65,136435,8844146.75,26-JUL-2013,2156,INE220B01022,
KALYANIFRG,BE,88.2,88.2,88.2,88.2,88.2,84,73,6438.6,26-JUL-2013,2,INE314G01014,
KAMATHOTEL,EQ,61.5,63.65,57.35,58,57.35,59.4,9074,545705.5,26-JUL-2013,131,INE967C01018,
KANANIIND,EQ,15.1,15.1,14.4,14.85,14.85,14.45,9148,136904.85,26-JUL-2013,13,INE879E01037,
KANORICHEM,EQ,31,31,29.15,29.5,29.65,31.35,5122,151016.8,26-JUL-2013,109,INE138C01024,
KANSAINER,EQ,1165,1179,1160,1169.8,1160,1170.5,4583,5378424.25,26-JUL-2013,991,INE531A01016,
KARURVYSYA,EQ,395.1,401,390,390.55,390.25,398.1,70585,27749443.4,26-JUL-2013,3141,INE036D01010,
KAUSHALYA,EQ,6.05,6.05,5.55,5.55,5.55,5.8,55,330.25,26-JUL-2013,2,INE234I01010,
KAVVERITEL,BE,33.85,33.85,32.2,32.2,32.2,33.85,1220,39561.5,26-JUL-2013,17,INE641C01019,
KCP,EQ,27.7,27.75,27,27.3,27.15,27.05,48959,1336855.55,26-JUL-2013,151,INE805C01028,
KCPSUGIND,EQ,17.1,17.15,16.75,16.8,16.85,17,10609,179394.3,26-JUL-2013,81,INE790B01024,
KEC,EQ,31.5,31.5,30.35,30.6,30.75,30.65,44102,1359271.75,26-JUL-2013,430,INE389H01022,
KECL,EQ,16.65,17,16.55,16.6,16.6,16.5,1670,27825.7,26-JUL-2013,38,INE134B01017,
KEI,EQ,7.55,8.25,7.55,8.15,8.1,7.9,29328,236692.8,26-JUL-2013,113,INE878B01027,
KEMROCK,EQ,24.6,25,24.45,24.45,24.45,25.7,7931,194924.85,26-JUL-2013,67,INE990B01012,
KERNEX,EQ,36.35,36.35,35.1,35.15,35.15,35.7,11994,426688.6,26-JUL-2013,134,INE202H01019,
KESORAMIND,EQ,63,63,57.05,58,58,61.8,46488,2764967.1,26-JUL-2013,645,INE087A01019,
KFA,BE,4.6,4.6,4.3,4.4,4.4,4.45,1014479,4491498.1,26-JUL-2013,1075,INE438H01019,
KGL,EQ,2.25,2.25,2,2.1,2.1,2.2,1987370,4217096.35,26-JUL-2013,1073,INE299C01024,
KHAITANELE,EQ,84.9,85,84.9,84.9,84.9,84.9,601,51034.9,26-JUL-2013,9,INE761A01019,
KICL,EQ,266,266,266,266,266,290,50,13300,26-JUL-2013,1,INE029L01018,
KIL,EQ,26.1,26.4,26,26.1,26.05,26.15,12182,319846.7,26-JUL-2013,91,INE390H01012,
KILITCH,EQ,21.05,23.65,20.15,20.55,20.25,21.6,6072,129607,26-JUL-2013,210,INE729D01010,
KIRIINDUS,EQ,5,5.25,4.8,4.85,4.85,5.1,13521,67140.35,26-JUL-2013,63,INE415I01015,
KIRLOSBROS,EQ,159,162.7,159,161.05,161.5,160.75,4923,790855,26-JUL-2013,199,INE732A01036,
KIRLOSENG,EQ,173.6,175,165,167.95,166,172.8,6232,1059691.75,26-JUL-2013,1052,INE146L01010,
KIRLOSIND,EQ,250,250,250,250,250,233,1370,342500,26-JUL-2013,14,INE250A01039,
KITEX,EQ,58,58.5,56.7,57.1,57.1,59.1,3095,179003.35,26-JUL-2013,34,INE602G01020,
KITPLYIND,BE,1.8,1.8,1.8,1.8,1.8,1.75,50,90,26-JUL-2013,1,INE147B01019,
KKCL,EQ,825,825,737.55,761.45,740.05,792.5,3237,2505796.05,26-JUL-2013,444,INE401H01017,
